Performance,Gender,Caste,coaching,time,Class_ten_education,twelve_education,medium,Class_ X_Percentage,Class_ XII_Percentage,Father_occupation,Mother_occupation
Excellent,male,General,WA,TWO,CBSE,CBSE,ENGLISH,Excellent,Vg,ENGINEER,HOUSE_WIFE
Excellent,female,General,WA,TWO,SEBA,AHSEC,ENGLISH,Excellent,Excellent,DOCTOR,COLLEGE_TEACHER
Excellent,male,General,WA,TWO,SEBA,AHSEC,OTHERS,Good,Good,SCHOOL_TEACHER,SCHOOL_TEACHER
Excellent,male,General,WA,TWO,CBSE,CBSE,ENGLISH,Excellent,Excellent,BANK_OFFICIAL,HOUSE_WIFE
Excellent,female,General,OA,ONE,OTHERS,CBSE,ENGLISH,Excellent,Excellent,BUSINESS,HOUSE_WIFE
Excellent,male,SC,OA,TWO,CBSE,CBSE,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE
Excellent,male,SC,WA,TWO,SEBA,AHSEC,OTHERS,Excellent,Vg,OTHERS,HOUSE_WIFE
Excellent,female,General,NO,TWO,CBSE,CBSE,ENGLISH,Excellent,Excellent,COLLEGE_TEACHER,SCHOOL_TEACHER
Excellent,female,General,WA,TWO,CBSE,CBSE,ENGLISH,Excellent,Excellent,OTHERS,SCHOOL_TEACHER
Excellent,female,General,WA,TWO,CBSE,CBSE,ENGLISH,Excellent,Excellent,OTHERS,OTHERS
Excellent,male,General,WA,TWO,CBSE,CBSE,ENGLISH,Excellent,Excellent,DOCTOR,DOCTOR
Excellent,male,General,WA,TWO,CBSE,CBSE,ENGLISH,Excellent,Excellent,ENGINEER,HOUSE_WIFE
Excellent,male,OBC,WA,TWO,SEBA,CBSE,ENGLISH,Excellent,Excellent,ENGINEER,HOUSE_WIFE
Excellent,female,General,WA,THREE,SEBA,AHSEC,OTHERS,Vg,Vg,OTHERS,HOUSE_WIFE
Excellent,female,General,WA,TWO,OTHERS,CBSE,ENGLISH,Excellent,Excellent,ENGINEER,HOUSE_WIFE
Excellent,male,SC,OA,TWO,SEBA,AHSEC,ENGLISH,Good,Good,BUSINESS,HOUSE_WIFE
Excellent,male,General,WA,THREE,SEBA,AHSEC,ASSAMESE,Excellent,Good,COLLEGE_TEACHER,HOUSE_WIFE
Excellent,male,General,NO,TWO,CBSE,CBSE,ENGLISH,Excellent,Good,BANK_OFFICIAL,HOUSE_WIFE
Excellent,male,General,OA,TWO,SEBA,AHSEC,ENGLISH,Excellent,Vg,SCHOOL_TEACHER,HOUSE_WIFE
Excellent,female,General,WA,TWO,SEBA,AHSEC,ASSAMESE,Excellent,Excellent,BUSINESS,HOUSE_WIFE
Excellent,male,General,WA,TWO,SEBA,AHSEC,OTHERS,Excellent,Excellent,OTHERS,HOUSE_WIFE
Excellent,male,General,WA,TWO,CBSE,CBSE,ENGLISH,Excellent,Excellent,DOCTOR,SCHOOL_TEACHER
Excellent,female,General,WA,TWO,CBSE,CBSE,ENGLISH,Excellent,Excellent,ENGINEER,HOUSE_WIFE
Excellent,male,General,WA,TWO,SEBA,AHSEC,ENGLISH,Excellent,Excellent,ENGINEER,COLLEGE_TEACHER
Excellent,female,General,WA,TWO,CBSE,CBSE,ENGLISH,Excellent,Excellent,OTHERS,OTHERS
Excellent,female,General,WA,TWO,SEBA,AHSEC,ENGLISH,Excellent,Excellent,ENGINEER,HOUSE_WIFE
Excellent,male,OBC,WA,ONE,SEBA,AHSEC,ASSAMESE,Average,Average,BUSINESS,OTHERS
Excellent,male,General,NO,TWO,CBSE,AHSEC,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE
Excellent,male,OBC,NO,ONE,CBSE,CBSE,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE
Excellent,female,General,WA,TWO,CBSE,CBSE,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE
Excellent,female,General,OA,TWO,CBSE,CBSE,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE
Excellent,male,OBC,WA,TWO,SEBA,AHSEC,OTHERS,Good,Good,OTHERS,HOUSE_WIFE
Excellent,male,General,WA,ONE,OTHERS,OTHERS,ENGLISH,Excellent,Good,OTHERS,OTHERS
Excellent,male,OBC,OA,TWO,OTHERS,OTHERS,OTHERS,Vg,Vg,BUSINESS,HOUSE_WIFE
Excellent,male,General,WA,THREE,SEBA,AHSEC,ASSAMESE,Vg,Good,OTHERS,SCHOOL_TEACHER
Excellent,male,General,OA,TWO,CBSE,CBSE,ENGLISH,Excellent,Vg,SCHOOL_TEACHER,SCHOOL_TEACHER
Excellent,male,General,WA,ONE,CBSE,CBSE,ENGLISH,Excellent,Excellent,OTHERS,COLLEGE_TEACHER
Excellent,female,General,WA,THREE,SEBA,AHSEC,OTHERS,Excellent,Excellent,SCHOOL_TEACHER,HOUSE_WIFE
Excellent,male,General,OA,TWO,CBSE,CBSE,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE
Excellent,female,General,WA,TWO,CBSE,CBSE,ENGLISH,Excellent,Excellent,DOCTOR,OTHERS
Excellent,male,General,WA,TWO,SEBA,AHSEC,ENGLISH,Excellent,Excellent,OTHERS,SCHOOL_TEACHER
Excellent,female,General,WA,TWO,CBSE,CBSE,ENGLISH,Excellent,Vg,OTHERS,HOUSE_WIFE
Excellent,male,General,OA,ONE,SEBA,CBSE,ENGLISH,Excellent,Excellent,DOCTOR,HOUSE_WIFE
Excellent,male,General,OA,TWO,CBSE,CBSE,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE
Excellent,male,General,WA,ONE,OTHERS,CBSE,ENGLISH,Excellent,Excellent,DOCTOR,HOUSE_WIFE
Excellent,female,OBC,WA,TWO,SEBA,CBSE,ENGLISH,Excellent,Excellent,SCHOOL_TEACHER,HOUSE_WIFE
Excellent,male,General,NO,ONE,SEBA,AHSEC,OTHERS,Average,Good,OTHERS,HOUSE_WIFE
Excellent,male,OBC,WA,TWO,SEBA,AHSEC,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE
Excellent,female,OBC,WA,TWO,CBSE,CBSE,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE
Excellent,female,General,WA,ONE,CBSE,CBSE,ENGLISH,Excellent,Excellent,OTHERS,SCHOOL_TEACHER
Excellent,male,General,OA,TWO,SEBA,CBSE,ENGLISH,Excellent,Excellent,ENGINEER,HOUSE_WIFE
Excellent,male,General,WA,TWO,SEBA,AHSEC,OTHERS,Good,Excellent,CULTIVATOR,HOUSE_WIFE
Excellent,male,General,OA,TWO,SEBA,CBSE,ENGLISH,Excellent,Excellent,BUSINESS,HOUSE_WIFE
Excellent,male,General,WA,THREE,SEBA,CBSE,ENGLISH,Vg,Good,OTHERS,OTHERS
Excellent,female,General,WA,TWO,SEBA,AHSEC,ASSAMESE,Good,Average,SCHOOL_TEACHER,SCHOOL_TEACHER
Excellent,male,General,WA,TWO,SEBA,AHSEC,ENGLISH,Excellent,Excellent,ENGINEER,BANK_OFFICIAL
Excellent,female,General,WA,TWO,CBSE,CBSE,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE
Excellent,male,General,OA,TWO,SEBA,AHSEC,ENGLISH,Excellent,Excellent,ENGINEER,HOUSE_WIFE
Excellent,female,OBC,WA,TWO,SEBA,AHSEC,ENGLISH,Excellent,Excellent,OTHERS,OTHERS
Excellent,male,General,NO,ONE,CBSE,CBSE,ENGLISH,Vg,Vg,OTHERS,HOUSE_WIFE
Excellent,female,OBC,WA,ONE,SEBA,AHSEC,ENGLISH,Excellent,Excellent,OTHERS,COLLEGE_TEACHER
Excellent,female,General,WA,TWO,SEBA,AHSEC,ENGLISH,Excellent,Excellent,COLLEGE_TEACHER,SCHOOL_TEACHER
Vg,female,General,WA,TWO,SEBA,CBSE,ENGLISH,Excellent,Excellent,DOCTOR,DOCTOR
Vg,male,General,WA,TWO,CBSE,CBSE,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE
Vg,female,General,WA,TWO,SEBA,AHSEC,OTHERS,Excellent,Excellent,BANK_OFFICIAL,BANK_OFFICIAL
Vg,male,General,WA,TWO,CBSE,CBSE,ENGLISH,Excellent,Vg,BANK_OFFICIAL,HOUSE_WIFE
Vg,male,General,NO,ONE,OTHERS,CBSE,ENGLISH,Excellent,Excellent,OTHERS,COLLEGE_TEACHER
Vg,female,General,WA,ONE,CBSE,CBSE,ENGLISH,Vg,Vg,BUSINESS,HOUSE_WIFE
Vg,male,General,WA,ONE,SEBA,AHSEC,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE
Vg,male,General,WA,TWO,SEBA,AHSEC,OTHERS,Vg,Excellent,BUSINESS,HOUSE_WIFE
Vg,female,General,WA,TWO,SEBA,AHSEC,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE
Vg,male,General,NO,ONE,SEBA,CBSE,ENGLISH,Good,Good,OTHERS,HOUSE_WIFE
Vg,male,General,WA,TWO,SEBA,AHSEC,ENGLISH,Excellent,Vg,SCHOOL_TEACHER,HOUSE_WIFE
Vg,female,General,WA,ONE,CBSE,CBSE,ENGLISH,Excellent,Excellent,OTHERS,SCHOOL_TEACHER
Vg,male,General,WA,FOUR,CBSE,CBSE,ENGLISH,Vg,Vg,COLLEGE_TEACHER,COLLEGE_TEACHER
Vg,male,General,WA,THREE,SEBA,AHSEC,ENGLISH,Excellent,Excellent,BUSINESS,HOUSE_WIFE
Vg,female,General,WA,TWO,CBSE,CBSE,ENGLISH,Excellent,Excellent,SCHOOL_TEACHER,SCHOOL_TEACHER
Vg,female,OBC,WA,THREE,SEBA,AHSEC,ENGLISH,Vg,Vg,ENGINEER,HOUSE_WIFE
Vg,male,General,WA,THREE,CBSE,CBSE,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE
Vg,male,General,WA,TWO,SEBA,AHSEC,ENGLISH,Excellent,Excellent,SCHOOL_TEACHER,HOUSE_WIFE
Vg,male,General,WA,THREE,SEBA,AHSEC,OTHERS,Excellent,Good,SCHOOL_TEACHER,HOUSE_WIFE
Vg,male,General,NO,ONE,CBSE,CBSE,ENGLISH,Excellent,Excellent,COLLEGE_TEACHER,HOUSE_WIFE
Vg,female,OBC,WA,TWO,OTHERS,CBSE,ENGLISH,Excellent,Excellent,ENGINEER,HOUSE_WIFE
Vg,female,General,NO,ONE,SEBA,AHSEC,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE
Vg,female,General,WA,TWO,CBSE,CBSE,ENGLISH,Excellent,Excellent,COLLEGE_TEACHER,SCHOOL_TEACHER
Vg,female,General,WA,TWO,SEBA,AHSEC,ENGLISH,Good,Vg,COLLEGE_TEACHER,HOUSE_WIFE
Vg,female,General,WA,TWO,SEBA,AHSEC,OTHERS,Excellent,Excellent,DOCTOR,HOUSE_WIFE
Vg,female,OBC,OA,TWO,CBSE,CBSE,ENGLISH,Excellent,Excellent,BUSINESS,BUSINESS
Vg,male,OBC,WA,TWO,SEBA,AHSEC,OTHERS,Excellent,Excellent,OTHERS,OTHERS
Vg,female,General,WA,TWO,SEBA,AHSEC,OTHERS,Excellent,Excellent,COLLEGE_TEACHER,HOUSE_WIFE
Vg,male,General,NO,THREE,SEBA,AHSEC,OTHERS,Vg,Vg,CULTIVATOR,HOUSE_WIFE
Vg,female,OBC,WA,THREE,CBSE,AHSEC,ENGLISH,Excellent,Vg,SCHOOL_TEACHER,HOUSE_WIFE
Vg,male,General,WA,TWO,SEBA,AHSEC,OTHERS,Good,Vg,BUSINESS,HOUSE_WIFE
Vg,female,General,NO,ONE,SEBA,AHSEC,ENGLISH,Excellent,Excellent,DOCTOR,DOCTOR
Vg,male,SC,WA,TWO,SEBA,AHSEC,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE
Vg,female,General,NO,TWO,CBSE,CBSE,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE
Vg,female,General,WA,TWO,SEBA,AHSEC,ASSAMESE,Excellent,Excellent,SCHOOL_TEACHER,HOUSE_WIFE
Vg,male,General,WA,TWO,SEBA,AHSEC,OTHERS,Excellent,Excellent,SCHOOL_TEACHER,HOUSE_WIFE
Vg,male,General,NO,ONE,CBSE,CBSE,ENGLISH,Excellent,Excellent,OTHERS,SCHOOL_TEACHER
Vg,female,OBC,NO,TWO,CBSE,CBSE,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE
Vg,female,General,WA,TWO,CBSE,AHSEC,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE
Vg,male,General,WA,TWO,SEBA,AHSEC,ENGLISH,Excellent,Vg,BUSINESS,HOUSE_WIFE
Vg,male,OBC,WA,ONE,CBSE,CBSE,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE
Vg,male,OBC,NO,ONE,CBSE,CBSE,ENGLISH,Excellent,Excellent,OTHERS,COLLEGE_TEACHER
Vg,male,OBC,WA,ONE,SEBA,AHSEC,OTHERS,Excellent,Excellent,SCHOOL_TEACHER,HOUSE_WIFE
Vg,female,General,WA,TWO,SEBA,AHSEC,ENGLISH,Excellent,Excellent,SCHOOL_TEACHER,SCHOOL_TEACHER
Vg,female,General,WA,TWO,SEBA,AHSEC,ENGLISH,Excellent,Excellent,OTHERS,COLLEGE_TEACHER
Vg,male,OBC,NO,ONE,CBSE,CBSE,ENGLISH,Excellent,Excellent,BUSINESS,HOUSE_WIFE
Vg,male,General,WA,THREE,CBSE,CBSE,ENGLISH,Vg,Vg,OTHERS,HOUSE_WIFE
Vg,male,General,WA,TWO,CBSE,CBSE,ENGLISH,Excellent,Excellent,SCHOOL_TEACHER,HOUSE_WIFE
Vg,female,General,WA,ONE,SEBA,AHSEC,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE
Vg,female,General,WA,ONE,CBSE,CBSE,ENGLISH,Excellent,Excellent,COLLEGE_TEACHER,COLLEGE_TEACHER
Vg,male,General,WA,THREE,CBSE,CBSE,ENGLISH,Vg,Good,SCHOOL_TEACHER,HOUSE_WIFE
Vg,female,General,NO,ONE,CBSE,CBSE,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE
Vg,female,General,OA,THREE,CBSE,CBSE,ENGLISH,Excellent,Good,OTHERS,HOUSE_WIFE
Vg,male,General,WA,TWO,SEBA,AHSEC,ASSAMESE,Excellent,Vg,COLLEGE_TEACHER,SCHOOL_TEACHER
Vg,female,General,WA,ONE,OTHERS,CBSE,ENGLISH,Excellent,Excellent,DOCTOR,DOCTOR
Vg,male,General,OA,ONE,OTHERS,OTHERS,ENGLISH,Vg,Excellent,COLLEGE_TEACHER,SCHOOL_TEACHER
Vg,female,General,NO,ONE,SEBA,AHSEC,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE
Vg,female,OBC,WA,TWO,SEBA,AHSEC,ENGLISH,Excellent,Excellent,DOCTOR,OTHERS
Vg,female,OBC,OA,TWO,CBSE,CBSE,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE
Vg,female,General,WA,ONE,CBSE,CBSE,ENGLISH,Excellent,Excellent,ENGINEER,HOUSE_WIFE
Vg,female,SC,WA,TWO,CBSE,CBSE,ENGLISH,Excellent,Excellent,ENGINEER,HOUSE_WIFE
Vg,male,General,WA,TWO,SEBA,CBSE,ENGLISH,Good,Good,SCHOOL_TEACHER,HOUSE_WIFE
Vg,male,General,NO,ONE,SEBA,AHSEC,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE
Vg,male,OBC,WA,TWO,SEBA,AHSEC,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE
Vg,male,General,WA,THREE,SEBA,AHSEC,ENGLISH,Excellent,Vg,BUSINESS,SCHOOL_TEACHER
Vg,female,General,WA,TWO,SEBA,AHSEC,OTHERS,Excellent,Good,OTHERS,SCHOOL_TEACHER
Vg,male,SC,NO,ONE,SEBA,AHSEC,ENGLISH,Excellent,Excellent,BUSINESS,SCHOOL_TEACHER
Vg,female,OBC,WA,TWO,SEBA,AHSEC,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE
Vg,female,OBC,WA,TWO,SEBA,AHSEC,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE
Vg,female,General,NO,THREE,SEBA,AHSEC,ENGLISH,Excellent,Vg,OTHERS,HOUSE_WIFE
Vg,male,OBC,NO,ONE,CBSE,AHSEC,ENGLISH,Excellent,Excellent,SCHOOL_TEACHER,HOUSE_WIFE
Vg,male,General,OA,TWO,CBSE,CBSE,ENGLISH,Excellent,Excellent,OTHERS,SCHOOL_TEACHER
Vg,male,OBC,WA,TWO,SEBA,AHSEC,OTHERS,Excellent,Vg,BUSINESS,HOUSE_WIFE
Vg,male,General,NO,ONE,SEBA,AHSEC,OTHERS,Excellent,Excellent,SCHOOL_TEACHER,HOUSE_WIFE
Vg,male,General,NO,ONE,CBSE,AHSEC,ENGLISH,Excellent,Excellent,ENGINEER,HOUSE_WIFE
Vg,male,SC,WA,TWO,CBSE,CBSE,ENGLISH,Excellent,Vg,SCHOOL_TEACHER,HOUSE_WIFE
Vg,male,OBC,WA,THREE,SEBA,AHSEC,ENGLISH,Excellent,Excellent,SCHOOL_TEACHER,HOUSE_WIFE
Vg,female,General,WA,TWO,CBSE,CBSE,ENGLISH,Excellent,Excellent,ENGINEER,COLLEGE_TEACHER
Vg,male,General,OA,TWO,CBSE,CBSE,ENGLISH,Excellent,Excellent,BUSINESS,HOUSE_WIFE
Vg,female,General,WA,TWO,SEBA,AHSEC,OTHERS,Excellent,Excellent,SCHOOL_TEACHER,HOUSE_WIFE
Vg,female,General,WA,TWO,CBSE,CBSE,ENGLISH,Excellent,Excellent,ENGINEER,HOUSE_WIFE
Vg,female,OBC,WA,TWO,SEBA,AHSEC,ENGLISH,Vg,Vg,COLLEGE_TEACHER,HOUSE_WIFE
Vg,female,General,WA,TWO,SEBA,AHSEC,ASSAMESE,Excellent,Excellent,OTHERS,HOUSE_WIFE
Vg,female,General,WA,ONE,SEBA,AHSEC,ENGLISH,Excellent,Excellent,BUSINESS,HOUSE_WIFE
Vg,male,General,WA,TWO,SEBA,AHSEC,ENGLISH,Excellent,Excellent,CULTIVATOR,HOUSE_WIFE
Vg,female,OBC,WA,TWO,CBSE,CBSE,ENGLISH,Excellent,Excellent,OTHERS,OTHERS
Vg,female,General,WA,TWO,CBSE,CBSE,ENGLISH,Excellent,Excellent,DOCTOR,DOCTOR
Vg,female,General,WA,THREE,SEBA,AHSEC,OTHERS,Vg,Vg,OTHERS,HOUSE_WIFE
Vg,female,OBC,OA,THREE,SEBA,AHSEC,ENGLISH,Good,Vg,OTHERS,HOUSE_WIFE
Vg,female,General,WA,TWO,SEBA,AHSEC,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE
Vg,male,General,WA,TWO,CBSE,CBSE,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE
Vg,male,OBC,WA,TWO,SEBA,AHSEC,ENGLISH,Excellent,Vg,OTHERS,HOUSE_WIFE
Vg,male,OBC,NO,FOUR,SEBA,AHSEC,OTHERS,Vg,Vg,BUSINESS,HOUSE_WIFE
Vg,male,OBC,WA,ONE,CBSE,CBSE,ENGLISH,Excellent,Excellent,DOCTOR,HOUSE_WIFE
Vg,female,General,WA,TWO,SEBA,AHSEC,OTHERS,Excellent,Excellent,SCHOOL_TEACHER,HOUSE_WIFE
Vg,male,General,WA,ONE,CBSE,CBSE,ENGLISH,Excellent,Excellent,OTHERS,SCHOOL_TEACHER
Vg,female,General,WA,TWO,SEBA,AHSEC,ENGLISH,Excellent,Vg,BUSINESS,SCHOOL_TEACHER
Vg,male,OBC,OA,TWO,SEBA,CBSE,ENGLISH,Vg,Excellent,BUSINESS,HOUSE_WIFE
Vg,female,General,WA,TWO,SEBA,AHSEC,ENGLISH,Vg,Vg,OTHERS,HOUSE_WIFE
Vg,male,General,WA,TWO,SEBA,AHSEC,ENGLISH,Excellent,Excellent,BUSINESS,HOUSE_WIFE
Vg,male,General,WA,TWO,CBSE,CBSE,ENGLISH,Excellent,Excellent,OTHERS,OTHERS
Vg,female,General,NO,ONE,SEBA,AHSEC,ENGLISH,Excellent,Excellent,OTHERS,OTHERS
Vg,male,General,NO,ONE,SEBA,AHSEC,ENGLISH,Excellent,Excellent,ENGINEER,SCHOOL_TEACHER
Vg,female,OBC,WA,THREE,SEBA,AHSEC,ENGLISH,Excellent,Excellent,SCHOOL_TEACHER,OTHERS
Vg,male,General,WA,TWO,CBSE,CBSE,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE
Vg,female,General,WA,TWO,SEBA,CBSE,ENGLISH,Excellent,Excellent,BUSINESS,HOUSE_WIFE
Vg,female,General,WA,TWO,CBSE,CBSE,ENGLISH,Excellent,Excellent,COLLEGE_TEACHER,HOUSE_WIFE
Vg,male,General,WA,ONE,CBSE,CBSE,ENGLISH,Excellent,Excellent,BUSINESS,HOUSE_WIFE
Vg,male,General,WA,ONE,SEBA,AHSEC,ENGLISH,Excellent,Excellent,DOCTOR,HOUSE_WIFE
Vg,male,General,WA,TWO,CBSE,CBSE,ENGLISH,Excellent,Excellent,OTHERS,OTHERS
Vg,female,General,WA,TWO,SEBA,AHSEC,ENGLISH,Vg,Vg,OTHERS,HOUSE_WIFE
Vg,female,OBC,WA,TWO,CBSE,CBSE,ENGLISH,Excellent,Excellent,OTHERS,OTHERS
Vg,male,General,WA,TWO,CBSE,CBSE,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE
Vg,female,SC,OA,TWO,SEBA,CBSE,ENGLISH,Excellent,Vg,OTHERS,BANK_OFFICIAL
Vg,male,General,WA,TWO,CBSE,CBSE,ENGLISH,Excellent,Excellent,BANK_OFFICIAL,HOUSE_WIFE
Vg,female,General,WA,FOUR,CBSE,CBSE,ENGLISH,Excellent,Vg,BANK_OFFICIAL,BANK_OFFICIAL
Vg,male,General,WA,TWO,CBSE,CBSE,ENGLISH,Excellent,Excellent,BUSINESS,OTHERS
Vg,female,ST,WA,TWO,SEBA,AHSEC,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE
Vg,female,General,WA,ONE,SEBA,AHSEC,ENGLISH,Excellent,Excellent,BANK_OFFICIAL,HOUSE_WIFE
Vg,male,General,WA,THREE,SEBA,AHSEC,OTHERS,Vg,Vg,OTHERS,HOUSE_WIFE
Vg,female,General,OA,TWO,CBSE,CBSE,ENGLISH,Excellent,Excellent,OTHERS,SCHOOL_TEACHER
Vg,male,OBC,WA,TWO,CBSE,CBSE,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE
