pol,text
negative,Bad Blood may have the absolute worst lyricism I've ever heard in my life (regarding Taylors parts) #UsedtobeMadLove #ReallyDeepCut	
neutral,@HOTTESTAR1 Bom may not be the best main vocalist but she does not have the worst voice in Kpop. Ppl need to stop over exaggerating	
positive,Tune into Reelz tomorrow at 7pm CT to support Alpha Mu's Rebecca Dunn in the Miss USA pageant. Go Becca! We love you! http://t.co/3WFtwMOPEq	
neutral,@m_rutler @xtina @nbc ru hosting a Miss USA party ? Sugar cake for the top 5 . Miss America in AC in sept.Free trip contests? Ur fired xtina	
positive,Be sure to watch Miss USA tomorrow night at 8pm ET on the Reelz Channel! I can not wait to see which beautiful... http://t.co/1I6LMrEFiJ	
neutral,Given that Watchman repeats passages whole it seems Lee didn't want to publish a 2nd book so much as she wanted to correct Mockingbird.	
negative,My parents are going to the Zac Brown Band concert tomorrow night and I'm so jealous.	
neutral,Really think @taylorswift13 should have @taylorphelan as a guest for Bad Blood at the show Oct 17 in Dallas	
positive,Sun setting on the Columbia river while the Zac Brown Band wails out Homegrown!#theshit http://t.co/EfHwVT56mj	
neutral,Was chatting up ref librarian at local public library a few days ago about Watchman. Ended up on hold list for novel. Read 1st chapter..5/S	
neutral,Cartel Wedding feeling like Chris Benoit after slamming Randy Orton for the 5th time in a row stamina http://t.co/Xf3Ex1Knp6	
neutral,[Paul] Paul McCartney &amp; Wings - Hot as Sun Concert for the People of Kampuchea http://t.co/5vBVyQiXXt	
negative,The growth of gerontocracy: George Osborne's assault on the young. @NickCohen4  http://t.co/722tfJelDt	
negative,The hidden Budget tax rises George Osborne didn't want you to know about http://t.co/aHTkG4iGUf	
positive,This is soooo good! Sunday Jam @LucyRoseMusic covers Taylor Swift's Bad Blood in the Live Lounge https://t.co/aNRI5T5Wdq	
neutral,Should the Sunday #tradinglaw be a thing of the past? George Osborne thinks so http://t.co/nrLlUgID3e	
positive,Just two days to go until the publishing event of the decade! Go Set a Watchman is out on Tuesday and you can... http://t.co/B2mSe5ECfE	
negative,Robbed by George Osborne...while the royals play decoy | Kevin McKenna http://t.co/aDQnPJxNQi	
positive,At last evidence that George Osborne's drive to make work more attractive that benefits is working. #makeworkpay https://t.co/M8Nrr4DSX3	
neutral,@mcuban Sir if ur n Chicago c Sir Paul McCartney July 31. Met him in NY other day. He'll be xcellent. M sure he'd confirm I'd get ratings	
negative,Boko Haram on Saturday claimed responsibility for attacks in Chad's capital N'Djamena and the Nigerian city of... http://t.co/gwyUpVUYvH	
negative,GEJ needs a public apology from all those that called him the sponsor of Boko Haram.  Every Sunday and Friday is a feast day for Boko Haram.	
positive,We're on our way to Hoover AL for SEC Media Days tomorrow but tonight we'll be cheering on @BrookeFletcher in the Miss USA pageant!	
neutral,#Rangers - Josh Hamilton is not in the Rangers starting lineup on Sunday. http://t.co/hqWxQJ6vco #winning http://t.co/UC10Hlp3yD	
positive,@tifftiffannie haha 8th - 11th grade was strong with the Kpop. We're always in sync lol	
negative,I remember Chad calling Boko Haram school boys Vowing to end them in two weeks.. Now he knows what's up  https://t.co/hxSaqlcgoe	
negative,By Joe Hemba DAMATURU Nigeria July 10 (Reuters) - Boko Haram islamist militants attacked the northern Nigerian town of Buni Yadi in Yobe	
positive,Go Set a Watchman comes out Tuesday and I'm really excited for it	
positive,Happy Sunday! Back at the River Center for Miss USA!  It's going to be an interesting night. Who is watching the big show?	
positive,What I like about Ryan Braun making all star game is hearing all the hatred for him.  Assures me he may be a Brewer for life.  I like that!	
neutral,Trump should let whoever comes in 11th place in the polls be a guest judge at Miss USA to make up for it.	
negative,@BBCNews You know Go Set a Watchman is not being released until tomorrow? Really did not appreciate the spoiler on your website.	
neutral,People of Cirencester! Tomorrow is the day before The Day! Last chance to pre-order Go Set A Watchman at Half Price. http://t.co/126ah7QpUT	
neutral,Trump to skip Miss USA pageant: Donald Trump won't be at the Miss USA Pageant taking place in Baton Rouge Louisiana on Sunday night...	
neutral,For the sake of being at work during th Miss USA finals I am deleting my Facebook app until tomorrow so I can... http://t.co/iUfubj0jyu	
negative,Just seen hat somebody tried to sell a baby today -- George Osborne will be charging VAT on them next - at least on the 3rd one	
positive,Officially Miss Denton USA and officially so excited for Miss USA tonight and for September to come already! http://t.co/0YKeHN4Bz3	
neutral,Don't forget to tune in as Miss Iowa USA will represent the Hawkeye State during Sunday's Miss USA pageant: http://t.co/abM9iaS3B3	
positive,I'm about to eat four hot dogs and watch Miss USA. Happy Sunday.	
neutral,Nat'l Headline: Miss USA contestants prepare to take stage: Women from across the country Sunday are vying for... http://t.co/e6fAy16jgs	
positive,This is a Harper worth looking forward to. Go Set a Watchman's 1st chapter stuns fans with bombshell plot twist http://t.co/KCBLbn3EXj	
neutral,Tune in to the 2015 MISS USA Pageant July 12 8p ET/5p PT in Baton Rouge LIVE on ReelzChannel	
positive,3rd annual Miss USA pageant with wings night for me. #lifegoals	
positive,Time for Miss USA!!! Go @RealMissTNUSA !!!! Titans fans she cheers for your team on the sidelines every Sunday... time to cheer for her now!	
neutral,@breeahnuh_ yes it's true I've missed all my children but no Go Set a Watchman gets released Tuesday	
neutral,Watching the Miss USA pageant...you can bet on me hitting the gym and ulta tomorrow lol	
positive,Miss USA featuring all the 1st generation Americans and multicultural women is great.	
negative,The Asian girls in the swim suit section for Miss USA are the ones with the worse bodies c'mon now &gt;_&gt; #itsmissusa #cantyouworkoutmore	
negative,Go figure on Miss USA is talking about bi racial and 1st time immigrants sad how the owner missed up the girls this yr.	
neutral,#weeds #drug Miss USA contestants take stage in 64th annual pageant: Women from across the country Sunday took... http://t.co/zXt4jb135x	
negative,It's Sunday Miss USA is on and all y'all want to tweet about are dicks.	
positive,Can't decide if I'm more pumped about the crowning of a new Miss USA tonight or the All-Star game on Tuesday	
positive,The Miss USA pageant was tonight so that means there will be a lot more girls at the gym tomorrow	
neutral,Thank you Miss USA! You stole my words Beauty is in the inside and outside. You may be drop dead gorgeous but... http://t.co/rlUNVXm4Dq	
negative,Also just now starting Miss USA so nobody text me about top 5 who wins etc Bc I may kill u	
neutral,Had kid at Sunday school ask me: Did you know Paul McCartney was in another band before Wings? &lt;Feeling OLD&gt; #NostalgiaChat	
positive,@mikemckinnon @CCJsask agreed especially Friday night! I love Zac Brown Band and it will be the first time I see them live (:	
positive,This may be about Miss America and not Miss USA but John Oliver is always relevant/great/perfect/hilarious.  http://t.co/Bg8naStu66	
negative,@KySportsRadio Miss USA pageant questions were epically bad. I think you have your topic for the show tomorrow	
negative,What I'm getting from Miss USA is that you can not answer a question at all and still get 3rd	
negative,totally intended to boycott Miss USA show but how in the world did Maryland come in 5th?! Three of those other girls gave terrible answers.	
neutral,Miss USA or prom queen the world may never know	
positive,Be on the look out for my Miss USA 2015 recap tomorrow! Hear about my favorite gowns swimsuit bods and... http://t.co/rfX7QmvNEk	
neutral,Now that Miss USA is over I think I might World War Z for the 6th time  . Cant go to sleep in a quiet room the TV is always on	
positive,Ylianna Guerra Miss Texas USA won 1st runner up at Miss USA. So proud to say she comes from the Valley and made it this far!	
neutral,May I have the names of the singers on Miss USA?	
neutral,Great way to end my 21st: watch the Miss USA pageant and cry because fat and ugly	
neutral,#MissUSA I wonder if someone from 1st Take is going to invite miss USA to the show	
neutral,@snidere95 I'm Ellen Snider and I once survived a 3rd degree hand burn trying to make smores dip &amp; watch Miss USA when I was 20.	
positive,we want the 9th crown for USA and especially enjoys every moment you lived as Miss USA.	
positive,Cranking Iron Maiden tomorrow when I head to work. If you are going the speed limit get out of my way.	
neutral,Re-watching the Miss USA pageant and Miss Rhode Island may have just made me cry	
positive,Olivia Jordan - only the 2nd woman in history to win BOTH titles - Miss World -United States and Miss USA.  She... http://t.co/Ddlb60TsH9	
negative,Hahaha 2nd place in Miss USA was Miss Texas from @CityofMcAllen  wonder if the organization just placed her there just for being Mexican	
positive,Well it's great to see a wonderful woman from McAllen get 1st Runner Up in the Miss USA Pageant	
negative,Ugh it's gonna be so embarrassing to have to go to work tomorrow having not been being crowned Miss USA tonight.	
neutral,#TeamFollowBack Another pageant another Q&amp;A fail to make you question our educational systems During Sunday's Miss USA p...  #FollowBack	
positive,Congratulations to Miss USA 1st runner up @RealMissTXUSA. You've made #McAllen and the #RGV very proud! #MissUSA	
neutral,Olivia Jordan of Oklahoma was crowned Miss USA on Sunday wearing a hot pink strapless dress as she deftly fie... http://t.co/KejBtuz08q	
positive,The Miss USA questions portion may be the funniest thing I have ever seen	
neutral,.@TheRealKamie I'm the 1st to say embrace your body &amp; no one should be ashamed of theirs. However I want to know if Miss USA has nude vids	
positive,Congrats Ylianna Guerra for getting 1st runner up in the Miss USA Pageant!! http://t.co/RuYKAJg7iP	
neutral,Miss USA contestants prepare to take stage - BATON ROUGE La. (AP) -- Women from across the country Sunday ... #news http://t.co/8rLUIcnbaU	
neutral,Instead of watching the Miss USA pageant I watched Drop Dead Gorgeous...A 1999 dark comedy &amp; Amy Adams 1st role! #USA http://t.co/AmchDlvhaU	
negative,I madr noprogress my lfe is going downhill actually Kpop ruined the world everything will dje the sun will explodeand Bush will confirm 9/11	
neutral,Donald Trump didn't show up for the Miss USA competition:  On Sunday Olivia Jordan of Oklahoma was crowned Mi... http://t.co/sRaoXIBB4u	
neutral,Morning! Watch the 4 Lab leadership contenders give their views on George Osborne's budget for 1st time 0915 BBC2/BBCNews with 100 voters	
neutral,The twitter page of the woman who just won the Miss USA pageant tonight only has 3300 followers so you may have a chance still guys.	
positive,@HuffingtonPost whats her name standing back of miss usa and crowning hershe is cute and beautiful..may be more than miss usa	
neutral,@TimLihoreau tomorrow's breakfast serial suggestion. George Harison was a Beatleso was Paul McCartney so how about My Love!!!!	
neutral,Skills crisis is key flaw in George Osborne's productivity plan says CBI. Girls are the answer @CBI_ES - lets talk. http://t.co/S41fdmGlxJ	
neutral,Miss Oklahoma won the Miss USA pageant on Sunday https://t.co/KTxLA5Rd47	
neutral,Pictures of the day: 13 July 2015: Miss USA is crowned a leaping gymnast and an erupting volcano	
negative,the Miss USA 1st runner up is a Latina woman who volunteers on the border of Mexico &amp; Texas because fuck Donald Trump all over his dumb self	
positive,Go Set a Watchman is out tomorrow! AAAAAAHHHHH! Even more excited about this than Urban Decay's Naked Smokey.	
positive,Tomorrow tomorrow I'll sell you tomorrow Watchman's only a day awaaaay. #GSAW #GoSetAWatchman #Annie doors open at 8am see you then! :)	
neutral,George Osborne presented the first Budget of this Parliament on Wednesday 8 July 2015. The speech set out his... http://t.co/zz4Qpk7hpM	
positive,Only ONE day to go before the release of Go Set a Watchman! See you all at 8 am tomorrow... :)	
positive,Its getting close. The day is almost upon us. GO SET A WATCHMAN IS TOMORROW!! #GSAW	
negative,Talk about post holiday blues.15 seconds of George Osborne's voice undoes all the good of a week in the sun. Personification of a wet Monday	
neutral,Good Monday Rockers! Today we are going to discuss the best robots in TV/Movie History. Rolling Stone magazine... http://t.co/VNf5ip30dm	
neutral,George Osborne has been a believer in the living wage for two years - argues @MatthewdAncona http://t.co/jW76quIrYQ http://t.co/pGYdpJy9IZ	
positive,Miss USA on Sunday wearing a hot pink strapless dress as she deftly fielded the interview BEST THINGS IN LIFECOME FREE TO US CUZ WERE OOOH	
positive,I scream you scream we all scream for ice cream!!  National Ice Cream Day is Sunday July 19th!  All Sitel... http://t.co/Zg64hAx53d	
positive,Go Set a Watchman the only other novel by Harper Lee set to be a hit as it's released in stores tomorrow! #goodreads http://t.co/9gyyCsLh5N	
positive,Surprises in Go Set a Watchman may make readers re-examine To Kill a Mockingbird.  http://t.co/978ANj8K4k http://t.co/OSDOClikib	
neutral,Intense workouts &amp; diet starts tomorrow after watching the Miss USA pageant.	
neutral,Go Set a Watchman is out tomorrow! We're open at 8:00am so you pick it up before work. Still time to preorder for half price today #GSOW	
neutral,Called Watchman same story as To Set a Watchman but from the Watchman's point of view? https://t.co/7xdyl43gOu	
neutral,@TODAY inaccurate reporting on Watchman. Its the 1st book HL wrote after many revisions by request of publisher came To kill A mockingbird!	
neutral,@DrTimony I finished TKAM last Thursday! Let me know what you thing about Watchman	
positive,Best HR derbyJosh Hamilton 28 monster blasts DEEP into the Bronx nighta record 1st round.Then like his career fadedjust three in finals.	
neutral,Why would it be so bad if ARod played in the All-Star Game but nobody cares that Ryan Braun will be playing tomorrow night #MLBAllStarGame	
positive,Happy Monday! Did you know that today is National Ice Cream Day?! This Monday isn't going to be so tough after all... http://t.co/pQvGYXChjw	
neutral,Harper Lee's new novel Go Set a Watchman will be published tomorrow. Get a sneak peek of the first chapter here: http://t.co/TJ8pZpAgec	
neutral,Harper Lee may have a third novel in her safe-deposit box: Go Set a Watchman might not be the las... http://t.co/5F4StfLAp8 #socialmedia	
negative,Just gonna say it: The lyrics in Bad Blood sound like they were written by a 7th grader. Done doesn't have two syllables Taylor.	
positive,TOMORROW is the big day!!!!!  Do you have your copy reserved?  Go Set a Watchman by Harper Lee.   On sale here... http://t.co/bd9RFkoUSC	
negative,Harrowingly fawning article about George Osborne (warning: may cause severe nausea) https://t.co/qYQNcyg9f1	
positive,I have two wishes: 1) that it was Tuesday already; 2) that I had ten eyes so I could read Go Set a Watchman faster.	
negative,Go Set a Watchman is out tomorrow. This means we can expect to see speed readers on the news.    I read it in 45 minutes Piss off. Now!!	
neutral,See classic TO KILL A MOCKINGBIRD tonight 7 pm @CineplexMovies in Bayers Lake before Go Set a Watchman release Tues. http://t.co/5ccb9DFIco	
neutral,Harper Lee the author of the American literature classic To Kill a Mockingbird will publish her 2nd book Go Set a Watchman this Tuesday	
neutral,Reminder #Syriza doesn't have half the leftist balls of George Osborne who liquidated the buy-to-let rentier. http://t.co/RLTMqO1DI4	
neutral,May d Almighty ALLAH in his infinite mercy use dis set of service chiefs as the tool 2 end d Boko Haram menace on our land. @DefenceInfoNG	
positive,All kinds of fun things happening for the launch of Go Set a Watchman tomorrow - come along for American-style sweets treats + prizes #GSOW	
neutral,will try to watch Brave first then will deal with AHS while sulking over Go Set a Watchman tomorrow	
neutral,@thedaveschram @Tim_Deegan @LeahDaniels next year Craven will have the Zac Brown Band on Friday after years of requesting them!	
neutral,Go Set a Watchman on shelves Tuesday some already upset with sequel: http://t.co/8PtcFAKDc0 (PHOTO: HarperCollins) http://t.co/jNsBSZyIwb	
positive,Support Local Business! This Sunday is National Ice Cream Day why not escape the heat and celebrate with our... http://t.co/Ocqde6NHVW	
neutral,Fifty five years ago today TO KILL A MOCKINGBIRD was published. GO SET A WATCHMAN is released tomorrow. Will you read it?	
negative,I may never read Watchman after this review. What would be the point? https://t.co/C6G1DUO5RY	
positive,Harper Lee's Go Set a Watchman comes out tomorrow I just want to call into work so I can read it all day.	
positive,It's finally here! Tomorrow sees the release of Harper Lee's Go Set a Watchman a sequel to the legendary To Kill... http://t.co/SCJw0J9NOd	
positive,Hey! Our August book Go Set a Watchman by Harper Lee is out tomorrow for all you eager readers!	
negative,So Watchman is an earlier draft of Mockingbird?? People have been had in getting excited for this. C'mon public you're better than this.	
negative,George Osborne will on Tuesday reject calls for the UK to take part in latest Greek bailout: FT	
positive,Wow! Big 24 hours for @BKComets!! 1st @theOliviaJordan named Miss USA now @kidkeuchy is named a starter for the MLB All-Star Game!! #Tulsa	
positive,The new Iron Maiden album Mobility Scooter to the Hills is out September 4th. Bless these old codgers.	
neutral,@oiler_country It may have been a one time thing as Paul McCartney played the hockey arena &amp; Wrestlemania was in the football arena.	
neutral,If Sheamus lose against Orton will be cashing MITB briefcase same night? And what about Dean Ambrose? https://t.co/dsp5UmKbPm	
positive,Congratulations to our Texas beauty for placing 1ST RUNNER UP at the Miss USA pageant last night! WINX is the... http://t.co/dMES00wgOT	
neutral,On the one hand George Osborne &amp; Theresa May. On the other Scott Walker &amp; Donald Trump. Clowns to the left of me jokers to my right...	
neutral,WWE announced on their Twitter account that Randy Orton would be facing Sheamus this Sunday at the Battleground PPV #WWE2K16 #Raw	
neutral,Miss Oklahoma wins Miss USA; Trump is the elephant (who wasn't) in the room: The Miss USA Pageant was held Sun... http://t.co/tvRyaWMSPT	
neutral,A girl named Jordan just got crowned Miss USA on Sunday. It wasn't me in case you were wondering...	
neutral,So Miss USA last night the AL All-Star starting pitcher today. What's going to be tomorrow for Bishop Kelley HS?	
negative,@SkyNewsTonight George Osborne must be p***ing himself. Talk about unintended consequences. PMQs will be interesting on Wednesday	
positive,Haley Laundrie represented Lake Mills in the Miss USA pageant Sunday. She is the first woman from the county to do so http://t.co/Qs9CUOweqv	
neutral,I am looking for to the release of Go Set a Watchman tomorrow by Harper Lee . I am NOT happy with all the spoilers  telling me about  it.	
positive,Meet the new NSA; Major General MT Monguno.... May almighty God give him the wisdom to defeat Boko Haram! Amen http://t.co/YIWi87aH5L	
neutral,Monday Night Raw tonight and we have one thing confirmed... Sheamus takes on Randy Orton at Battleground!	
positive,Go Set a Watchman - the highly anticipated second novel by Harper Lee is in stock and available for pre order today. - Pick up tomorrow.	
negative,Bumpy road ... George Osborne - UK won't help with brigding loan to Greece according to The Guardian. http://t.co/HNzyOkMzi3	
positive,Randy Orton vs. Sheamus has been added to the #WWEBattleground match card. I'm pumped about going to it on Sunday.	
neutral,Randy Orton will face off with Sheamus at #WWEBattleground on Sunday.      http://t.co/oDY1FgiqlP	
neutral,July 17 @ the Prudential Center Dean Ambrose vs. Seth Rollins World Heavyweight Championship Street Fight. Lets go SETH @WWERollins @WWE	
positive,@Five_Guys ... AND the 23rd is National Hot Dog Day ;-)	
positive,Please please please come true. I'm counting down the hours until Watchman's release. https://t.co/kUSvDa1zW7	
positive,We thought it would be a great idea to read the brand new Go Set a Watchman by Harper Lee starting August 1st! http://t.co/PR2OMq3bGO	
neutral,Sunday during the Q&amp;A segment of the Miss USA pageant Miss Texas (Ylianna Guerra) made such an unapologetically... http://t.co/LJftdgulTQ	
positive,Eager to read Go Set a Watchman. Will be out tomorrow can't wait to get my hands on it!	
negative,Got caught up on sat&amp;sun's paper. Pretty upset that the Lexington Herald-Leader put a Go Set a Watchman spoiler on the front page.	
neutral,Bad Blood is a v catchy song but the lyrics are such a omg he sat next to my bff at lunch instead of me anthem.	
negative,Man behind 5th-grade insults in @RollingStone hot take a senior editor ... which explains a lot about Rolling Stone http://t.co/7rGAm1ju86	
positive,I get Harper Lee's new book Go Set a Watchman tomorrow   I haven't been this excited about a new book in a long long time	
positive,I just realized that Go Set a Watchman comes out tomorrow!!!	
positive,@The_MaleBoss: Boko Haram will soon know the 'strength of our collective will' In Sha Allah. May God guide the new Service Chiefs!. Amin	
negative,The Borno state police commissioner Aderemi Opadokun on Monday confirmed fresh attacks by the Boko Haram sect... http://t.co/3svj6EGFlP	
neutral,GO SET A WATCHMAN drops tomorrow. ICYMI I talked to indie bookstores around the country about their preparations http://t.co/Xp4UaKd4G5	
neutral,ReelzChannel's broadcast of the Miss USA pageant topped Nielsen Twitter TV ratings Sunday night.  More:... http://t.co/rX4ezzD5lr	
positive,Buy Go Set a Watchman tomorrow guys it's a big deal	
positive,Whoa! National Ice Cream Day is in six days?! You may want to pay special attention here and on our Facebook &amp; Instagram accounts on Sunday.	
neutral,@diversemind sorry about that I didn't see it! I'm going to peep the article are you gonna buy Watchman tomorrow? And yes by the way.	
positive,Congratulations @RealMissTXUSA for being first runner up in the Miss USA pageant Sunday!	
neutral,@Michael22418062 Watchman was the 1st draft of Mockingbird which was then changed beyond recognition. @kelly_carlin	
positive,#bbcdp Great to see EU Solidarity from George Osborne whose 1st Worry was about the effect of GREEK Crisis on UK Economy not Poor GREEK Ppl	
neutral,http://t.co/IafdOkWbQ5 (Reuters) - Oklahoma's Olivia Jordan was crowned Miss USA on Sunday capping weeks of controversy in the run-up to	
positive,Tomorrow 7-14-15 the new Harper Lee novel Go set a Watchman is released !!!	
positive,Go Set a Watchman (the sequel to To Kill a Mockingbird) hits the bookshelves tomorrow!!!!! #hype #turnt	
positive,@LoweCatherine I can't wait to get Watchman tomorrow...more because I want to see her maturation as a writer. Forensic reading.	
positive,Who else is excited about Go Set a Watchman by Harper Lee which hits stores this Tuesday? Stop by Barnes &amp; Noble... http://t.co/7A3mG21REx	
neutral,EN DIRECT sur #Periscope : im practicing the rolling stone for wednesday in quebec https://t.co/FjGtSfQwUN	
neutral,Hero anti-hero: one in the same? Go Set a Watchman out tomorrow. American Masters http://t.co/hsBnlYW2Cq @pbsteachers	
positive,@KFROGRadio so glad I was the grand prize winner to see Zac Brown Band I can't wait til October :)	
neutral,Let's talk about the situation that's arisen between Sheamus and Randy Orton...... We still don't care 3 years after the 1st time.	
neutral,Go Set a Watchman comes out tomorrow! Do you plan to read it?   I have to reread TKAM first but then I definitely... http://t.co/v1iYNZSN5Y	
positive,One day Dean Ambrose will be WWE CHAMPION and mark April 3 2016 on your calendar #ambroseforWWECHAMPION http://t.co/JQIWKJoCiE	
positive,Go Set a Watchman will be here tomorrow with some pants I ordered :')	
neutral,Johnny Lennon is going to ask Paul McCartney and McCartney's right love to be based in Jerusalem for the July 15th Apple time event.	
positive,It's almost time! Harper Lee's new book Go Set a Watchman will be on sale at 7 am Tuesday the 14th! That is... http://t.co/mrh0PtUuoV	
neutral,Was I one of the first or last to notice this... Dean Ambrose new gear number says 060214  June 2nd 14 the day Seth Rollins betrayed  Shield	
positive,Ok I remember where I was when Josh Hamilton had the massive 1st round etc in '08---and hats off to @FlavaFraz21 bcuz that was Epic also!!	
neutral,Bray has able to escape by hitting Reigns with a lantern. The match with Dean Ambrose may have been scrapped.... http://t.co/6KTnjxwJSx	
negative,Then you add in the guilt factor. Did Harper Lee really want Watchman published? If her 1st draft has been hijacked I'd feel bad reading it.	
positive,Getting my copy of Go Set a Watchman tomorrow morning . . . should be interesting given the comments of the early reviewers.	
positive,@madwags definitely wish we were reading together and enjoying a cup of tea!! @SchulerBooks BTW have you read the 1st chapter of Watchman?	
positive,Let's celebrate the days leading up to National Ice Cream Day on July 19 by eating ice cream. Then let's have a... http://t.co/4HQG3V93fD	
negative,To all the people who will buy Go Set a Watchman tomorrow:  go buy/read To Kill a Mockingbird instead	
positive,Best email of the day: Amazon informed me my copy of Go Set a Watchman will be here TOMORROW! YAY! 2 days earlier to literary heaven!	
neutral,Just out of curiosity why doesn't Dean Ambrose have a match Sunday? And why did we get gypped out of seeing him wrestle tonight?	
neutral,@darrenrovell Not sure if you've seen yet but Dallas Keuchel and Miss USA both went to same high school (Bishop Kelley in Tulsa). 1st time?	
neutral,Re-reading #HarperLee Mockingbird now; soon to discover the new #AtticusFinch Go Set a Watchman and now there's more https://t.co/Ul8t6ilpS5	
neutral,Watched the home run derby from beginning to end. 1st time since the steroid days I watched josh Hamilton after... http://t.co/K5ZIk6Kbo0	
positive,What I would give to meek K-Rod and Ryan Braun tomorrow while at the All-Star game representing the @Brewers thanks to @esurance	
neutral,.@ImperialDuelist have been added in the 13 man Battle-Royal this Wednesday. He'll take Randy Orton spot don't worry; Ambrose there too.	
positive,Iron maiden's new album book souls  comes out   September 4 can't wait to hear it	
positive,Harper Lee's Go Set a Watchman on sale tomorrow. hopefully there are still copies in the nearest bookstore!	
neutral,My music range now is all over the place.  My Chemical Romance Anberlin Taking Back Sunday Iron Maiden Nirvana Twenty One Pilots+	
neutral,Some balance on Watchman from Hadley Freeman in the guardian - http://t.co/vqk52aTios	
neutral,George Osborne: It's adorable that you media person think this gov't would do anything to help Greece. http://t.co/b4UCdTcZZC	
positive,Wishing the best for the new Service Chiefs.  May they find wisdom and knowledge to fight Boko Haram #GodBlessNigeria	
negative,New TV series BBC2 1950h Sunday called 'Smug rich buggers make poorer people beg' I bet George Osborne absolutely loves it	
neutral,@rdu985fm if I hit 666 by Friday I'll sign off with Iron Maiden	
neutral,Yes George Osborne and Iain Duncan Smiths too.. DC was a 3rd Child it would seem...maybe the Tories have a point :P https://t.co/X9J9VGfJDd	
neutral,@SF_England so basically anyone from this September...that's just brilliant news :( big massive thanks to George Osborne and his friends!	
positive,Did someone say Christmas in July?! Go Set a Watchman comes out TODAY! Oh and I'm busy for the rest of today. No reason. #booknerd	
positive,Need to run to the bookstore to pick up a copy of Go Sat a Watchman by Paul Blart. #HappyReading	
neutral,1st chapter of Go Set a Watchman previewed. Already surprised at some of it. Thoughts? @Berry_O12 @alaina_stowers http://t.co/sHxrdDr7zw	
neutral,7 years ago today Josh Hamilton who at one point hits 13 consecutive hits 28 HR in the 1st round of the #HRDerby. http://t.co/ejmoaqi4EJ	
neutral,Stephen Carter: The 1st line of Go Set a Watchman does what it should: It makes us want to know what happens next http://t.co/KjSj7DAyOP	
neutral,Once you've finished reading Go Set a Watchman you should come along to our discussion group in store at 6:30pm on July 29th. #GSAW	
neutral,Go Set a Watchman will hit the shelves on Tuesday at some libraries while other branches will be getting the book... http://t.co/iq6J40b6Is	
neutral,Every time I hear the word hoax I'm reminded of Paul McCartney on the Chris Farley show  http://t.co/mSEtL7f1Gw	
